show_id,title,country,date_added,duration
s1,3%,Brazil,"August 14, 2020",4 Seasons
s6,46,Turkey,"July 1, 2017",1 Season
s12,1983,"Poland, United States","November 30, 2018",1 Season
s13,1994,Mexico,"May 17, 2019",1 Season
s17,Feb-09,,"March 20, 2019",1 Season
s25,​SAINT SEIYA: Knights of the Zodiac,Japan,"January 23, 2020",2 Seasons
s27,(Un)Well,United States,"August 12, 2020",1 Season
s30,#blackAF,United States,"April 17, 2020",1 Season
s39,แผนร้ายนายเจ้าเล่ห์,,"March 30, 2019",1 Season
s46,Şubat,Turkey,"January 17, 2017",1 Season
s52,100 Days My Prince,South Korea,"December 7, 2020",1 Season
s54,100 Humans,United States,"March 13, 2020",1 Season
s59,100% Hotter,United Kingdom,"November 1, 2019",1 Season
s62,12 Years Promise,South Korea,"May 22, 2017",1 Season
s64,13 Reasons Why,United States,"June 5, 2020",4 Seasons
s65,13 Reasons Why: Beyond the Reasons,United States,"August 23, 2019",3 Seasons
s81,20 Minutes,Turkey,"August 15, 2017",1 Season
s86,21 Again,United Kingdom,"July 1, 2020",1 Season
s87,21 Sarfarosh: Saragarhi 1897,India,"December 1, 2018",1 Season
s88,21 Thunder,Canada,"March 1, 2018",1 Season
s96,28 Moons,South Korea,"June 10, 2017",1 Season
s109,3Below: Tales of Arcadia,United States,"July 12, 2019",2 Seasons
s112,44 Cats,Italy,"October 1, 2020",2 Seasons
s113,45 rpm,Spain,"August 16, 2019",1 Season
s131,60 Days In,United States,"November 1, 2020",1 Season
s133,7 (Seven),India,"July 30, 2019",1 Season
s135,7 Days Out,United States,"December 21, 2018",1 Season
s138,72 Cutest Animals,Australia,"June 1, 2016",1 Season
s139,72 Dangerous Animals: Asia,Australia,"August 10, 2018",1 Season
s140,72 Dangerous Animals: Latin America,"Australia, United States","December 22, 2017",1 Season
s141,72 Dangerous Places to Live,Australia,"June 1, 2016",1 Season
s142,7SEEDS,,"March 26, 2020",2 Seasons
s143,9 Months That Made You,United States,"March 1, 2017",1 Season
s153,A Boy Name Flora A,Taiwan,"September 1, 2017",1 Season
s181,A Good Wife,Taiwan,"January 1, 2017",1 Season
s189,A House of Blocks,Taiwan,"September 1, 2017",1 Season
s192,A Korean Odyssey,South Korea,"March 5, 2019",1 Season
s196,A Lion in the House,United States,"November 10, 2020",1 Season
s198,A Little Help with Carol Burnett,United States,"May 4, 2018",1 Season
s199,A Little Thing Called First Love,China,"October 26, 2019",1 Season
s200,A Love So Beautiful,South Korea,"December 28, 2020",1 Season
s203,A Man Called God,South Korea,"March 12, 2019",1 Season
s214,A Perfect Crime,Germany,"September 25, 2020",1 Season
s219,A Queen Is Born,Brazil,"November 11, 2020",1 Season
s226,A Series of Unfortunate Events,United States,"January 1, 2019",3 Seasons
s236,A Taiwanese Tale of Two Cities,Taiwan,"January 27, 2019",1 Season
s240,A Thousand Goodnights,Taiwan,"June 1, 2019",1 Season
s242,A Touch of Green,Taiwan,"July 1, 2020",1 Season
s249,A Very Secret Service,France,"July 30, 2018",2 Seasons
s257,A Year In Space,United States,"November 1, 2019",1 Season
s259,A Young Doctor's Notebook and Other Stories,United Kingdom,,2 Seasons
s260,A.D. Kingdom and Empire,United States,"December 15, 2017",1 Season
